title,table_name,group_name,var_description,var_name_ending
pob,B05002,total,Total,Total:
pob,B05002,nat_for,native,Native:
pob,B05002,nat_for,foreign-born,Foreign born:
pob,B05002,us_regions,born in MA,Born in state of residence
pob,B05002,us_regions,Northeast,Northeast
pob,B05002,us_regions,Midwest,Midwest
pob,B05002,us_regions,South,South
pob,B05002,us_regions,West,West
pob,B05002,us_regions,Other,Born outside the United States:
pob,B05002,us_regions,Other,Foreign born:
pob,B05002,continent,born in North America,Native:
pob,B05002,continent,born in North America,Northern America
pob,B05002,continent,Oceania,Oceania
pob,B05002,continent,Africa,Africa
pob,B05002,continent,Latin America,Latin America
pob,B05002,continent,Asia,Asia
pob,B05002,continent,Europe,Europe
pob,B05006,foreign_born,Northern Europe,Northern Europe:
pob,B05006,foreign_born,Western Europe,Western Europe:
pob,B05006,foreign_born,Southern Europe,Southern Europe:
pob,B05006,foreign_born,Eastern Europe,Eastern Europe:
pob,B05006,foreign_born,Eastern Asia,Eastern Asia:
pob,B05006,foreign_born,South Central Asia,South Central Asia:
pob,B05006,foreign_born,South Eastern Asia,South Eastern Asia:
pob,B05006,foreign_born,Western Asia,Western Asia:
pob,B05006,foreign_born,Eastern Africa,Eastern Africa:
pob,B05006,foreign_born,Middle Africa,Middle Africa:
pob,B05006,foreign_born,Northern Africa,Northern Africa:
pob,B05006,foreign_born,Southern Africa,Southern Africa:
pob,B05006,foreign_born,Western Africa,Western Africa:
pob,B05006,foreign_born,Oceania,Oceania:
pob,B05006,foreign_born,Caribbean,Caribbean:
pob,B05006,foreign_born,Central America,Central America:
pob,B05006,foreign_born,South America,South America:
pob,B05006,foreign_born,North America,Northern America:
pob,B05002,foreign_born,Other (native born),Native:
educ,B15002,total,Total,Total:
educ,B15002,all,Less than High School,No schooling completed
educ,B15002,all,Less than High School,Nursery to 4th grade
educ,B15002,all,Less than High School,5th and 6th grade
educ,B15002,all,Less than High School,7th and 8th grade
educ,B15002,all,Less than High School,9th grade
educ,B15002,all,Less than High School,10th grade
educ,B15002,all,Less than High School,11th grade
educ,B15002,all,Less than High School,"12th grade, no diploma"
educ,B15002,all,High School/GED,High school graduate (includes equivalency)
educ,B15002,all,Some College/Associates,"Some college, less than 1 year"
educ,B15002,all,Some College/Associates,"Some college, 1 or more years, no degree"
educ,B15002,all,Some College/Associates,Associate's degree
educ,B15002,all,Bachelor's,Bachelor's degree
educ,B15002,all,Masters or Higher,Master's degree
educ,B15002,all,Masters or Higher,Professional school degree
educ,B15002,all,Masters or Higher,Doctorate degree
educ,B15002,hs,Less than High School,No schooling completed
educ,B15002,hs,Less than High School,Nursery to 4th grade
educ,B15002,hs,Less than High School,5th and 6th grade
educ,B15002,hs,Less than High School,7th and 8th grade
educ,B15002,hs,In High School,9th grade
educ,B15002,hs,In High School,10th grade
educ,B15002,hs,In High School,11th grade
educ,B15002,hs,In High School,"12th grade, no diploma"
educ,B15002,hs,High School or Higher,High school graduate (includes equivalency)
educ,B15002,hs,High School or Higher,"Some college, less than 1 year"
educ,B15002,hs,High School or Higher,"Some college, 1 or more years, no degree"
educ,B15002,hs,High School or Higher,Associate's degree
educ,B15002,hs,High School or Higher,Bachelor's degree
educ,B15002,hs,High School or Higher,Master's degree
